id,timestamp,source_paper,doi,author,system,type,pearl,remarks,file_name,topic
0,27-06-2026 14:11,Experts’ recommendations for the management of adult patients with cardiogenic shock,10.1016/j.acvd.2026.02.001,Nadia Aissaoui et al.,Cardiology,Guideline,"For patients with cardiogenic shock, utilize a multidisciplinary 'Shock Team' consisting of at least a heart failure specialist, an interventional cardiologist, and an intensivist or cardiac anesthesiologist to facilitate rapid SCAI staging and collaborative decision-making regarding temporary mechanical circulatory support (t-MCS).",,3.5flash_1-s2.0-S1875213626000513.json,"cardiogenic shock, clinical systems"
1,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"Staphylococcus aureus (especially MRSA) has surpassed viridans group streptococci as the most common and virulent pathogen in developed countries, causing rapid valvular destruction, perivalvular abscesses, and systemic embolization.",,advpub_CJ-25-0987 (1).json,"microbiology, infectious diseases"
2,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"Under the 2023 Duke-ISCVID criteria, a definitive clinical diagnosis of infective endocarditis requires the presence of either 2 major criteria, 1 major and 3 minor criteria, or 5 minor criteria.",,advpub_CJ-25-0987 (1).json,"infective endocarditis, diagnostics"
3,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"To satisfy the major microbiological criterion, typical pathogens (such as S. aureus, S. lugdunensis, E. faecalis, VGS, and HACEK) must be isolated from at least 2 separate blood culture sets, whereas less common pathogens require isolation from at least 3 separate sets.",,advpub_CJ-25-0987 (1).json,"microbiology, blood cultures"
4,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"Major microbiological criteria for intracellular pathogens are met with a positive PCR for Coxiella burnetii, Bartonella spp., or Tropheryma whipplei, an IgG anti-phase I titer for C. burnetii > 1:800, or an IFA IgG titer >= 1:800 for B. henselae or B. quintana.",,advpub_CJ-25-0987 (1).json,"infectious diseases, diagnostics"
5,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"When using 18F-FDG PET/CT to identify abnormal metabolic activity as a major imaging criterion, the prosthetic valve must have been implanted for at least 3 months to avoid false-positive results from physiological postoperative inflammation.",,advpub_CJ-25-0987 (1).json,"imaging, diagnostics"
6,27-06-2026 14:13,JCS 2026 Guideline on the Management of Infective Endocarditis,10.1253/circj.CJ-25-0987,Chisato Izumi et al.,Cardiology,Guideline,"Glomerulonephritis qualifies as an immunological minor criterion for infective endocarditis and is clinically defined by acute kidney injury associated with hematuria, proteinuria, red cell casts, or hypocomplementemia.",,advpub_CJ-25-0987 (1).json,"nephrology, diagnostics"
7,30-06-2026 14:00,Capillary refill time changes are associated with Vascular Waterfall response in post-cardiac surgery patients,10.1016/j.aicoj.2026.100105,"Stefan Andrei, Stéphane Bar, Maxime Nguyen, Bélaid Bouhemad, Dan Longrois, Pierre-Grégoire Guinot",Other,Other,"For septic shock, initial management requires prompt administration of broad-spectrum antibiotics and fluid resuscitation within the first hour.",,1-s2.0-S2110582026001408-main.json,"sepsis, resuscitation, antibiotics"
8,30-06-2026 14:00,Capillary refill time changes are associated with Vascular Waterfall response in post-cardiac surgery patients,10.1016/j.aicoj.2026.100105,"Stefan Andrei, Stéphane Bar, Maxime Nguyen, Bélaid Bouhemad, Dan Longrois, Pierre-Grégoire Guinot",Other,Other,"Vasopressors should be initiated early in septic shock; norepinephrine is the preferred agent, with a target Mean Arterial Pressure (MAP) of 65 mmHg.",,1-s2.0-S2110582026001408-main.json,"hemodynamics, vasopressors, septic shock"
9,30-06-2026 14:00,Capillary refill time changes are associated with Vascular Waterfall response in post-cardiac surgery patients,10.1016/j.aicoj.2026.100105,"Stefan Andrei, Stéphane Bar, Maxime Nguyen, Bélaid Bouhemad, Dan Longrois, Pierre-Grégoire Guinot",Other,Other,"If MAP remains below 65 mmHg despite initial fluid resuscitation and norepinephrine, consider adding vasopressin or epinephrine as second-line agents.",,1-s2.0-S2110582026001408-main.json,"hemodynamics, vasopressors, septic shock"
